"FIPS","Year","Alzheimers Deaths","Population","STATE","COUNTY","PM2_5GE_Threshold","PM2_5GT35LE50","PM2_5GT50","Poverty Percent, All Ages","% Smokers","% Excessive Drinking","% African American","% Asian","% Hispanic","% Age < 18","% Age 65 and over","% Obese","% Unemployed","% Uninsured","Median Household Income","% Rural","PM2_5GE_ThresholdLastYear","PM2_5GE_ThresholdLast2Year","PM2_5GE_ThresholdLast3Year","PM2_5GE_ThresholdLast4Year","PM2_5GE_ThresholdLast5Year","PM2_5GT35LE50LastYear","PM2_5GT35LE50Last2Year","PM2_5GT35LE50Last3Year","PM2_5GT35LE50Last4Year","PM2_5GT35LE50Last5Year","PM2_5GT50LastYear","PM2_5GT50Last2Year","PM2_5GT50Last3Year","PM2_5GT50Last4Year","PM2_5GT50Last5Year"
6031,2019,29,152940,"California","Kings",20,19,1,16,14.54645021,19.16708836,5.970646431,4.473654406,54.82441823,27.29095742,10.02924697,24,8.869598364,8.283719716,55076,10.85160346,33,64,89,116,146,20,33,53,71,75,13,31,36,45,71
6033,2015,31,64591,"California","Lake",1,0,1,20.5,24.5,20.7,1.799248356,1.348261823,18.43094269,20.36955841,19.83870968,26.5,11.88696172,20.62504859,36973,33.10600789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6033,2016,26,64116,"California","Lake",0,0,0,20.7,15.3,16.9,1.840022436,1.394428518,19.05926711,20.39293282,20.61884582,26.6,8.864608394,20.27221053,36333,33.10600789,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
6033,2017,22,64246,"California","Lake",2,1,1,20.2,14.97928557,16.95350764,1.808301466,1.405768606,19.63741079,20.54001332,21.33114521,26.2,7.669869595,15.87950468,37993,33.10600789,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1
6033,2018,11,64382,"California","Lake",3,1,2,18.4,15.40097745,17.01928146,1.748393537,1.374071995,19.96381558,20.72649573,21.8759748,26.3,6.641023895,10.2970218,40818,33.10600789,2,2,3,3,3,1,1,1,1,1,1,1,2,2,2
6033,2019,17,64386,"California","Lake",0,0,0,18.3,15.40097745,17.01928146,1.810229431,1.380630701,20.56003487,20.74214737,22.35625564,23.9,5.74140136,8.657595451,45797,33.10600789,3,5,5,6,6,1,2,2,2,2,2,3,3,4,4
6037,2015,3815,10170292,"California","Los Angeles",5,5,0,16.7,12.3,15.4,8.234495363,14.56246479,48.26697792,23.18753352,11.8504836,21.3,9.870681887,24.51235453,54443,0.605218358,1,1,3,6,6,0,0,2,5,5,1,1,1,1,1
6037,2016,4016,10137915,"California","Los Angeles",0,0,0,16.3,12.4,16.8,8.168845489,14.77249757,48.41245247,22.77042772,12.18783191,21,8.259006427,23.65550176,55686,0.605218358,5,6,6,8,11,5,5,5,7,10,0,1,1,1,1
6037,2017,4192,10163507,"California","Los Angeles",3,2,1,14.9,11.70026618,18.54165894,8.103602139,14.97819335,48.44168683,22.41665234,12.55947224,21.4,6.721462368,17.37042372,59045,0.605218358,0,5,6,6,8,0,5,5,5,7,0,0,1,1,1
6037,2018,4119,10105518,"California","Los Angeles",2,1,1,14.2,10.60574833,17.26186136,8.059428393,15.07489459,48.51914817,22.22461917,12.90771327,21.6,5.244530615,12.49206462,61308,0.605218358,3,3,8,9,9,2,2,7,7,7,1,1,1,2,2
6037,2019,4429,10039107,"California","Los Angeles",0,0,0,13.4,10.60574833,17.26186136,7.983071198,15.2968557,48.60138336,21.89111495,13.22338834,21.4,4.689620259,10.67326313,64912,0.605218358,2,5,5,10,11,1,3,3,8,8,1,2,2,2,3
6039,2015,70,154998,"California","Madera",12,6,6,22.6,13.8,15,3.094055345,2.525116642,55.72711941,28.12473341,12.51008931,27.6,11.36818752,24.64992605,41223,32.92480032,14,26,35,62,71,8,19,25,39,43,6,7,10,23,28
6039,2016,65,154697,"California","Madera",8,8,0,20.4,15.7,17.6,3.332298056,2.45943008,56.14178119,27.56231074,12.77337785,26.7,11.04868321,22.83529606,43171,32.92480032,12,26,38,47,74,6,14,25,31,45,6,12,13,16,29
6039,2017,70,156890,"California","Madera",17,12,5,21.2,14.95498092,16.57156604,3.331655892,2.567129899,56.70008645,27.49390315,13.14468574,26.5,10.49598785,17.3530386,46593,32.92480032,8,20,34,46,55,8,14,22,33,39,0,6,12,13,16
6039,2018,57,157672,"California","Madera",24,17,7,20.2,14.2694435,17.08541659,3.261860282,2.43443635,57.40382813,27.50021009,13.51803849,26.3,9.162491052,13.01505594,49467,32.92480032,17,25,37,51,63,12,20,26,34,45,5,5,11,17,18
6039,2019,64,157327,"California","Madera",0,0,0,17.6,14.2694435,17.08541659,3.252597361,2.540633565,57.95143094,27.41602397,13.73701319,26.2,8.054619729,9.700987688,50783,32.92480032,24,41,49,61,75,17,29,37,43,51,7,12,12,18,24
6041,2015,171,261221,"California","Marin",3,3,0,7.5,9.7,22,2.549106884,5.972171153,15.73355524,20.58637973,18.91393958,15.8,5.043906014,12.3086402,94347,6.519973535,1,2,2,3,5,1,2,2,3,5,0,0,0,0,0
6041,2016,174,260651,"California","Marin",0,0,0,7.8,10.5,18.4,2.578331735,6.101629914,15.96433365,20.46941515,19.40095877,18.1,4.269873118,11.90966414,94549,6.519973535,3,4,5,5,6,3,4,5,5,6,0,0,0,0,0
6041,2017,182,260955,"California","Marin",6,4,2,7.9,9.979472795,21.07038975,2.56258111,6.20968452,16.03661268,20.48839871,20.0316973,18.9,3.54229998,8.699220958,99868,6.519973535,0,3,4,5,5,0,3,4,5,5,0,0,0,0,0
6041,2018,174,259666,"California","Marin",13,2,11,6.6,9.669764224,19.88491928,2.50756759,6.32071237,16.00876268,20.46184362,20.5976574,18.1,3.23765233,6.243984779,103488,6.519973535,6,6,9,10,11,4,4,7,8,9,2,2,2,2,2
6041,2019,148,258826,"California","Marin",0,0,0,6.9,9.669764224,19.88491928,2.460577494,6.404552509,16.12423598,20.11342952,21.62211876,18.2,2.857587681,5.277426619,112735,6.519973535,13,19,19,22,23,2,6,6,9,10,11,13,13,13,13
