"FIPS","Year","STATE","COUNTY","PM2_5GE_Threshold","PM2_5GT35LE50","PM2_5GT50"
"53053",2014,"Washington","Pierce",0,0,0
"53057",2014,"Washington","Skagit",0,0,0
"53061",2014,"Washington","Snohomish",0,0,0
"53063",2014,"Washington","Spokane",1,1,0
"53065",2014,"Washington","Stevens",2,1,1
"53067",2014,"Washington","Thurston",0,0,0
"53071",2014,"Washington","Walla Walla",0,0,0
"53073",2014,"Washington","Whatcom",0,0,0
"53075",2014,"Washington","Whitman",0,0,0
"53077",2014,"Washington","Yakima",4,4,0
"53001",2013,"Washington","Adams",0,0,0
"53003",2013,"Washington","Asotin",0,0,0
"53005",2013,"Washington","Benton",0,0,0
"53007",2013,"Washington","Chelan",0,0,0
"53009",2013,"Washington","Clallam",0,0,0
"53011",2013,"Washington","Clark",6,6,0
"53013",2013,"Washington","Columbia",0,0,0
"53015",2013,"Washington","Cowlitz",0,0,0
"53021",2013,"Washington","Franklin",0,0,0
"53025",2013,"Washington","Grant",0,0,0
"53027",2013,"Washington","Grays Harbor",0,0,0
"53031",2013,"Washington","Jefferson",0,0,0
"53033",2013,"Washington","King",0,0,0
"53035",2013,"Washington","Kitsap",0,0,0
"53037",2013,"Washington","Kittitas",0,0,0
"53039",2013,"Washington","Klickitat",0,0,0
"53041",2013,"Washington","Lewis",0,0,0
"53045",2013,"Washington","Mason",0,0,0
"53047",2013,"Washington","Okanogan",0,0,0
"53053",2013,"Washington","Pierce",0,0,0
"53057",2013,"Washington","Skagit",0,0,0
"53061",2013,"Washington","Snohomish",0,0,0
"53063",2013,"Washington","Spokane",1,1,0
"53065",2013,"Washington","Stevens",0,0,0
"53067",2013,"Washington","Thurston",3,3,0
"53071",2013,"Washington","Walla Walla",2,2,0
"53073",2013,"Washington","Whatcom",0,0,0
"53075",2013,"Washington","Whitman",0,0,0
"53077",2013,"Washington","Yakima",7,7,0
"53001",2012,"Washington","Adams",0,0,0
"53003",2012,"Washington","Asotin",10,5,5
"53005",2012,"Washington","Benton",1,1,0
"53007",2012,"Washington","Chelan",18,4,14
"53009",2012,"Washington","Clallam",0,0,0
"53011",2012,"Washington","Clark",0,0,0
"53013",2012,"Washington","Columbia",0,0,0
"53015",2012,"Washington","Cowlitz",0,0,0
"53021",2012,"Washington","Franklin",1,1,0
"53025",2012,"Washington","Grant",0,0,0
"53027",2012,"Washington","Grays Harbor",0,0,0
"53031",2012,"Washington","Jefferson",0,0,0
"53033",2012,"Washington","King",0,0,0
"53035",2012,"Washington","Kitsap",0,0,0
"53037",2012,"Washington","Kittitas",15,7,8
"53039",2012,"Washington","Klickitat",0,0,0
"53041",2012,"Washington","Lewis",0,0,0
"53045",2012,"Washington","Mason",1,1,0
"53047",2012,"Washington","Okanogan",8,5,3
"53053",2012,"Washington","Pierce",1,1,0
"53057",2012,"Washington","Skagit",0,0,0
"53061",2012,"Washington","Snohomish",1,1,0
"53063",2012,"Washington","Spokane",2,2,0
"53065",2012,"Washington","Stevens",0,0,0
"53067",2012,"Washington","Thurston",3,2,1
"53071",2012,"Washington","Walla Walla",0,0,0
"53073",2012,"Washington","Whatcom",0,0,0
"53075",2012,"Washington","Whitman",1,1,0
"53077",2012,"Washington","Yakima",5,4,1
"53001",2011,"Washington","Adams",0,0,0
"53003",2011,"Washington","Asotin",0,0,0
"53005",2011,"Washington","Benton",0,0,0
"53007",2011,"Washington","Chelan",1,1,0
"53009",2011,"Washington","Clallam",0,0,0
"53011",2011,"Washington","Clark",4,4,0
"53013",2011,"Washington","Columbia",0,0,0
"53015",2011,"Washington","Cowlitz",0,0,0
"53021",2011,"Washington","Franklin",0,0,0
