"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Marion County, AL"	"01093"	"2014"	"2014"	10	30271	Unreliable	Unreliable	0.0%
	"Marion County, AL"	"01093"	"2020 "	"2020"	12	29703	Unreliable	Unreliable	0.0%
	"Marshall County, AL"	"01095"	"1999"	"1999"	10	81992	Unreliable	Unreliable	0.0%
	"Marshall County, AL"	"01095"	"2000"	"2000"	14	82231	Unreliable	Unreliable	0.0%
	"Marshall County, AL"	"01095"	"2001"	"2001"	10	82477	Unreliable	Unreliable	0.0%
	"Marshall County, AL"	"01095"	"2004"	"2004"	13	85131	Unreliable	Unreliable	0.0%
	"Marshall County, AL"	"01095"	"2005"	"2005"	19	86516	Unreliable	Unreliable	0.0%
	"Marshall County, AL"	"01095"	"2006"	"2006"	12	88209	Unreliable	Unreliable	0.0%
	"Marshall County, AL"	"01095"	"2007"	"2007"	10	89605	Unreliable	Unreliable	0.0%
	"Marshall County, AL"	"01095"	"2008"	"2008"	23	91072	25.3	22.1	0.0%
	"Marshall County, AL"	"01095"	"2009"	"2009"	18	92213	Unreliable	Unreliable	0.0%
	"Marshall County, AL"	"01095"	"2010"	"2010"	13	93019	Unreliable	Unreliable	0.0%
	"Marshall County, AL"	"01095"	"2011"	"2011"	12	94166	Unreliable	Unreliable	0.0%
	"Marshall County, AL"	"01095"	"2012"	"2012"	13	94776	Unreliable	Unreliable	0.0%
	"Marshall County, AL"	"01095"	"2013"	"2013"	12	94760	Unreliable	Unreliable	0.0%
	"Marshall County, AL"	"01095"	"2014"	"2014"	25	94636	26.4	21.2	0.0%
	"Marshall County, AL"	"01095"	"2015"	"2015"	23	94725	24.3	20.6	0.0%
	"Marshall County, AL"	"01095"	"2016"	"2016"	18	95157	Unreliable	Unreliable	0.0%
	"Marshall County, AL"	"01095"	"2017"	"2017"	24	95548	25.1	19.5	0.0%
	"Marshall County, AL"	"01095"	"2018"	"2018"	23	96109	23.9	20.4	0.0%
	"Marshall County, AL"	"01095"	"2019"	"2019"	19	96774	Unreliable	Unreliable	0.0%
	"Marshall County, AL"	"01095"	"2020 "	"2020"	26	96990	26.8	21.9	0.0%
	"Mobile County, AL"	"01097"	"1999"	"1999"	39	399323	9.8	10.2	0.0%
	"Mobile County, AL"	"01097"	"2000"	"2000"	41	399843	10.3	10.7	0.0%
	"Mobile County, AL"	"01097"	"2001"	"2001"	47	400129	11.7	12.0	0.0%
	"Mobile County, AL"	"01097"	"2002"	"2002"	41	398549	10.3	10.3	0.0%
	"Mobile County, AL"	"01097"	"2003"	"2003"	45	398082	11.3	11.0	0.0%
	"Mobile County, AL"	"01097"	"2004"	"2004"	38	397959	9.5	9.5	0.0%
	"Mobile County, AL"	"01097"	"2005"	"2005"	59	398942	14.8	14.1	0.0%
	"Mobile County, AL"	"01097"	"2006"	"2006"	50	402916	12.4	11.1	0.0%
	"Mobile County, AL"	"01097"	"2007"	"2007"	44	405715	10.8	10.0	0.0%
	"Mobile County, AL"	"01097"	"2008"	"2008"	50	409196	12.2	11.0	0.0%
	"Mobile County, AL"	"01097"	"2009"	"2009"	48	411994	11.7	10.8	0.0%
	"Mobile County, AL"	"01097"	"2010"	"2010"	48	412992	11.6	10.5	0.0%
	"Mobile County, AL"	"01097"	"2011"	"2011"	40	412577	9.7	8.2	0.0%
	"Mobile County, AL"	"01097"	"2012"	"2012"	62	413936	15.0	13.3	0.0%
	"Mobile County, AL"	"01097"	"2013"	"2013"	58	414079	14.0	12.3	0.0%
	"Mobile County, AL"	"01097"	"2014"	"2014"	48	415123	11.6	9.8	0.0%
	"Mobile County, AL"	"01097"	"2015"	"2015"	52	415395	12.5	10.9	0.0%
	"Mobile County, AL"	"01097"	"2016"	"2016"	73	414836	17.6	14.7	0.0%
	"Mobile County, AL"	"01097"	"2017"	"2017"	65	413955	15.7	12.8	0.0%
	"Mobile County, AL"	"01097"	"2018"	"2018"	54	413757	13.1	11.0	0.0%
	"Mobile County, AL"	"01097"	"2019"	"2019"	67	413210	16.2	12.6	0.0%
	"Mobile County, AL"	"01097"	"2020 "	"2020"	74	412716	17.9	14.8	0.0%
	"Montgomery County, AL"	"01101"	"1999"	"1999"	22	223548	9.8	10.6	0.0%
	"Montgomery County, AL"	"01101"	"2000"	"2000"	25	223510	11.2	12.0	0.0%
	"Montgomery County, AL"	"01101"	"2001"	"2001"	14	223048	Unreliable	Unreliable	0.0%
	"Montgomery County, AL"	"01101"	"2002"	"2002"	19	223185	Unreliable	Unreliable	0.0%
	"Montgomery County, AL"	"01101"	"2003"	"2003"	26	222680	11.7	12.0	0.0%
	"Montgomery County, AL"	"01101"	"2004"	"2004"	24	223002	10.8	10.8	0.0%
	"Montgomery County, AL"	"01101"	"2005"	"2005"	24	223608	10.7	10.8	0.0%
	"Montgomery County, AL"	"01101"	"2006"	"2006"	25	227291	11.0	10.9	0.0%
	"Montgomery County, AL"	"01101"	"2007"	"2007"	13	227888	Unreliable	Unreliable	0.0%
	"Montgomery County, AL"	"01101"	"2008"	"2008"	19	227461	Unreliable	Unreliable	0.0%
	"Montgomery County, AL"	"01101"	"2009"	"2009"	12	227607	Unreliable	Unreliable	0.0%
	"Montgomery County, AL"	"01101"	"2010"	"2010"	22	229363	9.6	9.1	0.0%
	"Montgomery County, AL"	"01101"	"2011"	"2011"	16	232032	Unreliable	Unreliable	0.0%
	"Montgomery County, AL"	"01101"	"2012"	"2012"	26	230149	11.3	10.3	0.0%
	"Montgomery County, AL"	"01101"	"2013"	"2013"	16	226659	Unreliable	Unreliable	0.0%
	"Montgomery County, AL"	"01101"	"2014"	"2014"	21	226189	9.3	7.5	0.0%
	"Montgomery County, AL"	"01101"	"2015"	"2015"	31	226519	13.7	12.3	0.0%
	"Montgomery County, AL"	"01101"	"2016"	"2016"	33	226349	14.6	13.2	0.0%
	"Montgomery County, AL"	"01101"	"2017"	"2017"	26	226646	11.5	10.7	0.0%
	"Montgomery County, AL"	"01101"	"2018"	"2018"	27	225763	12.0	10.1	0.0%
	"Montgomery County, AL"	"01101"	"2019"	"2019"	22	226486	9.7	8.6	0.0%
	"Montgomery County, AL"	"01101"	"2020 "	"2020"	25	224639	11.1	9.4	0.0%
	"Morgan County, AL"	"01103"	"1999"	"1999"	14	110670	Unreliable	Unreliable	0.0%
	"Morgan County, AL"	"01103"	"2001"	"2001"	10	111682	Unreliable	Unreliable	0.0%
	"Morgan County, AL"	"01103"	"2003"	"2003"	15	112898	Unreliable	Unreliable	0.0%
	"Morgan County, AL"	"01103"	"2007"	"2007"	15	116397	Unreliable	Unreliable	0.0%
	"Morgan County, AL"	"01103"	"2010"	"2010"	10	119490	Unreliable	Unreliable	0.0%
	"Morgan County, AL"	"01103"	"2011"	"2011"	12	119953	Unreliable	Unreliable	0.0%
